name random randomTime ratio ratioTime
C2000-5 137763 522 137866 521
C2000-9 140024 1074 139948 1040
MANN-a45 72156 228 72147 258
MANN-a81 234460 3854 234424 4213
bio-dmela 310239 4 405323 17
bio-yeast 56825 0 62262 0
ca-AstroPh 1052190 57 1204344 216
ca-CSphd 71170 0 99453 1
ca-CondMat 1203543 20 1407952 216
ca-Erdos992 64455 1 34833 1
ca-GrQc 221376 2 247322 8
ca-HepPh 622561 28 723912 79
ca-MathSciNet 15416692 409 18448575 143190
ca-citeseer 12350093 264 14427429 33563
ca-dblp-2010 11983051 200 14160938 65282
ca-dblp-2012 16458062 491 19844226 133220
frb56-25-1 98411 477 98391 449
frb56-25-2 99295 448 99208 446
frb56-25-3 96553 457 96524 446
frb56-25-4 97466 459 97462 434
frb56-25-5 100029 453 99942 437
frb59-26-1 109907 559 109725 547
frb59-26-2 108265 562 108108 554
frb59-26-3 104380 551 104419 557
frb59-26-4 106471 557 106377 537
frb59-26-5 107617 553 107482 566
ia-email-EU 113316 9 892103 412
ia-email-univ 60986 0 67867 1
ia-enron-large 1282608 44 1846408 436
ia-fb-messages 64096 0 71067 1
ia-reality 11367 0 6301 16
ia-wiki-Talk 2141193 122 3622167 3174
keller6 235436 3255 235224 3819
p-hat1500-1 102935 120 102889 105
p-hat1500-2 105073 263 104332 268
p-hat1500-3 104557 439 104423 428
rec-amazon 5237516 33 5376541 4363
sc-nasasrb 3794404 432 3843511 2101
sc-shipsec1 9502471 588 9825282 17210
soc-brightkite 2476853 60 2901844 1096
soc-delicious 11136018 474 21259537 429471
soc-douban 1205857 80 5119283 13367
soc-epinions 1142651 22 1267667 204
soc-gowalla 9412932 377 11080357 22492
soc-slashdot 2658602 139 3450546 1591
soc-twitter-follows 322977 232 11564588 285632
socfb-Berkeley13 1476383 443 1564692 738
socfb-CMU 425567 86 448767 121
socfb-Duke14 643483 219 668661 309
socfb-Indiana 1952060 715 2047760 1246
socfb-MIT 401878 106 430432 130
socfb-OR 3618797 387 4011763 1523
socfb-Penn94 2676520 774 2841786 1720
socfb-Stanford3 738765 263 785059 363
socfb-UCLA 1302958 379 1379650 615
socfb-UCSB37 963958 196 1023236 354
socfb-UConn 1116460 296 1176465 463
socfb-UIllinois 2003395 665 2111188 1247
socfb-Wisconsin87 1551440 426 1636099 757
tech-RL-caida 8957099 239 11143483 19450
tech-WHOIS 258776 11 454840 28
tech-internet-as 751965 17 1977089 774
tech-p2p-gnutella 2001453 37 2833614 1990
tech-routers-rf 96693 0 110288 2
web-BerkStan 583048 2 690395 63
web-arabic-2005 9391934 444 9880202 26256
web-edu 170470 0 188874 4
web-google 50827 0 60340 0
web-indochina-2004 648394 7 701704 55
web-sk-2005 5858656 78 5909312 9696
web-spam 242644 6 277547 14
web-webbase-2001 302620 3 598642 113
