set type n m type run random randomTime ratio ratioTime
mpi 2 100 100 2 1 384 0 241 0
mpi 2 100 100 2 10 279 0 264 0
mpi 2 100 100 2 2 317 0 304 0
mpi 2 100 100 2 3 290 0 275 0
mpi 2 100 100 2 4 246 0 261 0
mpi 2 100 100 2 5 285 0 260 0
mpi 2 100 100 2 6 261 0 241 0
mpi 2 100 100 2 7 323 0 317 0
mpi 2 100 100 2 8 259 0 260 0
mpi 2 100 100 2 9 245 0 268 0
mpi 2 100 250 2 1 1454 0 1414 0
mpi 2 100 250 2 10 1370 0 1159 0
mpi 2 100 250 2 2 1549 0 1362 0
mpi 2 100 250 2 3 1389 0 1296 0
mpi 2 100 250 2 4 1536 0 1377 0
mpi 2 100 250 2 5 1529 0 1502 0
mpi 2 100 250 2 6 1032 0 1120 0
mpi 2 100 250 2 7 1580 0 1315 0
mpi 2 100 250 2 8 1517 0 1348 0
mpi 2 100 250 2 9 1431 0 1311 0
mpi 2 100 500 2 1 5395 0 5186 0
mpi 2 100 500 2 10 4977 0 4826 0
mpi 2 100 500 2 2 5315 0 4888 0
mpi 2 100 500 2 3 5138 0 5021 0
mpi 2 100 500 2 4 5815 0 5665 0
mpi 2 100 500 2 5 4970 0 4932 0
mpi 2 100 500 2 6 5471 0 5168 0
mpi 2 100 500 2 7 4698 0 4632 0
mpi 2 100 500 2 8 4468 0 4117 0
mpi 2 100 500 2 9 5357 0 5245 0
mpi 2 100 50 2 1 101 0 110 0
mpi 2 100 50 2 10 127 0 117 0
mpi 2 100 50 2 2 103 0 98 0
mpi 2 100 50 2 3 127 0 117 0
mpi 2 100 50 2 4 129 0 108 0
mpi 2 100 50 2 5 104 0 90 0
mpi 2 100 50 2 6 137 0 116 0
mpi 2 100 50 2 7 111 0 98 0
mpi 2 100 50 2 8 104 0 102 0
mpi 2 100 50 2 9 117 0 62 0
mpi 2 100 750 2 1 12176 0 12359 0
mpi 2 100 750 2 10 11766 0 12085 0
mpi 2 100 750 2 2 10353 0 9806 0
mpi 2 100 750 2 3 11463 0 11612 0
mpi 2 100 750 2 4 12218 0 11958 0
mpi 2 100 750 2 5 11679 0 10944 0
mpi 2 100 750 2 6 12013 0 12296 0
mpi 2 100 750 2 7 11935 0 11522 0
mpi 2 100 750 2 8 9796 0 9716 0
mpi 2 100 750 2 9 12703 0 12658 0
mpi 2 150 100 2 1 215 0 182 0
mpi 2 150 100 2 10 227 0 218 0
mpi 2 150 100 2 2 242 0 250 0
mpi 2 150 100 2 3 244 0 255 0
mpi 2 150 100 2 4 261 0 223 0
mpi 2 150 100 2 5 266 0 284 0
mpi 2 150 100 2 6 263 0 242 0
mpi 2 150 100 2 7 277 0 282 0
mpi 2 150 100 2 8 237 0 239 0
mpi 2 150 100 2 9 223 0 233 0
mpi 2 150 250 2 1 1042 0 953 0
mpi 2 150 250 2 10 1201 0 1080 0
mpi 2 150 250 2 2 1094 0 1105 0
mpi 2 150 250 2 3 1046 0 1148 0
mpi 2 150 250 2 4 973 0 1010 0
mpi 2 150 250 2 5 985 0 914 0
mpi 2 150 250 2 6 1043 0 1009 0
mpi 2 150 250 2 7 976 0 794 0
mpi 2 150 250 2 8 970 0 930 0
mpi 2 150 250 2 9 1044 0 1077 0
mpi 2 150 500 2 1 3740 0 3300 0
mpi 2 150 500 2 10 3390 0 3458 0
mpi 2 150 500 2 2 3310 0 3050 0
mpi 2 150 500 2 3 3710 0 3308 0
mpi 2 150 500 2 4 3738 0 3779 0
mpi 2 150 500 2 5 4140 0 3591 0
mpi 2 150 500 2 6 3553 0 3283 0
mpi 2 150 500 2 7 3980 0 3269 0
mpi 2 150 500 2 8 3821 0 3340 0
mpi 2 150 500 2 9 3459 0 3177 0
mpi 2 150 50 2 1 100 0 105 0
mpi 2 150 50 2 10 101 0 94 0
mpi 2 150 50 2 2 113 0 107 0
mpi 2 150 50 2 3 105 0 87 0
mpi 2 150 50 2 4 101 0 115 0
mpi 2 150 50 2 5 94 0 96 0
mpi 2 150 50 2 6 108 0 90 0
mpi 2 150 50 2 7 106 0 83 0
mpi 2 150 50 2 8 86 0 93 0
mpi 2 150 50 2 9 98 0 100 0
mpi 2 150 750 2 1 8219 0 7951 0
mpi 2 150 750 2 10 8066 0 7847 0
mpi 2 150 750 2 2 7123 0 6980 0
mpi 2 150 750 2 3 7160 0 7456 0
mpi 2 150 750 2 4 7410 0 7555 0
mpi 2 150 750 2 5 7142 0 7426 0
mpi 2 150 750 2 6 7607 0 6769 0
mpi 2 150 750 2 7 7460 0 7376 0
mpi 2 150 750 2 8 8172 0 7567 0
mpi 2 150 750 2 9 7766 0 7515 0
mpi 2 200 100 2 1 227 0 232 0
mpi 2 200 100 2 10 243 0 232 0
