set type n m type run random randomTime ratio ratioTime
mpi 1 100 1000 1 1 6862 0 6492 0
mpi 1 100 1000 1 10 6624 0 6263 0
mpi 1 100 1000 1 2 6242 0 6179 0
mpi 1 100 1000 1 3 6992 0 6685 0
mpi 1 100 1000 1 4 6517 0 6467 0
mpi 1 100 1000 1 5 6990 0 6864 0
mpi 1 100 1000 1 6 6800 0 6871 0
mpi 1 100 1000 1 7 6106 0 5877 0
mpi 1 100 1000 1 8 6586 0 6476 0
mpi 1 100 1000 1 9 6905 0 6373 0
mpi 1 100 100 1 1 4990 0 4684 0
mpi 1 100 100 1 10 5185 0 5311 0
mpi 1 100 100 1 2 4780 0 5038 0
mpi 1 100 100 1 3 4540 0 5520 0
mpi 1 100 100 1 4 4135 0 4878 0
mpi 1 100 100 1 5 4516 0 5131 0
mpi 1 100 100 1 6 5136 0 4948 0
mpi 1 100 100 1 7 4491 0 5699 0
mpi 1 100 100 1 8 4951 0 5698 0
mpi 1 100 100 1 9 4773 0 4343 0
mpi 1 100 2000 1 1 7406 0 7264 0
mpi 1 100 2000 1 10 7332 0 7442 0
mpi 1 100 2000 1 2 6388 0 6257 0
mpi 1 100 2000 1 3 6631 0 6635 0
mpi 1 100 2000 1 4 6218 0 6174 0
mpi 1 100 2000 1 5 7100 0 7041 0
mpi 1 100 2000 1 6 6771 0 6295 0
mpi 1 100 2000 1 7 7068 0 6695 0
mpi 1 100 2000 1 8 6989 0 7127 0
mpi 1 100 2000 1 9 7486 0 7314 0
mpi 1 100 250 1 1 6173 0 6391 0
mpi 1 100 250 1 10 6151 0 5569 0
mpi 1 100 250 1 2 5692 0 5436 0
mpi 1 100 250 1 3 5665 0 6430 0
mpi 1 100 250 1 4 5776 0 6358 0
mpi 1 100 250 1 5 6073 0 6613 0
mpi 1 100 250 1 6 6486 0 5957 0
mpi 1 100 250 1 7 5762 0 5744 0
mpi 1 100 250 1 8 5497 0 6214 0
mpi 1 100 250 1 9 6020 0 5924 0
mpi 1 100 500 1 1 6372 0 5635 0
mpi 1 100 500 1 10 6021 0 5889 0
mpi 1 100 500 1 2 6658 0 6713 0
mpi 1 100 500 1 3 6190 0 6266 0
mpi 1 100 500 1 4 6937 0 6230 0
mpi 1 100 500 1 5 6246 0 6171 0
mpi 1 100 500 1 6 6311 0 6239 0
mpi 1 100 500 1 7 6081 0 6102 0
mpi 1 100 500 1 8 6191 0 5754 0
mpi 1 100 500 1 9 6487 0 6454 0
mpi 1 100 750 1 1 6652 0 5940 0
mpi 1 100 750 1 10 6847 0 6358 0
mpi 1 100 750 1 2 6537 0 5902 0
mpi 1 100 750 1 3 6403 0 6640 0
mpi 1 100 750 1 4 6687 0 6476 0
mpi 1 100 750 1 5 6883 0 6375 0
mpi 1 100 750 1 6 7201 0 7042 0
mpi 1 100 750 1 7 6146 0 6363 0
mpi 1 100 750 1 8 6030 0 6192 0
mpi 1 100 750 1 9 6443 0 6801 0
mpi 1 150 1000 1 1 9879 0 9107 0
mpi 1 150 1000 1 10 10176 0 10210 0
mpi 1 150 1000 1 2 9510 0 9553 0
mpi 1 150 1000 1 3 9701 0 9266 0
mpi 1 150 1000 1 4 10003 0 9710 0
mpi 1 150 1000 1 5 10217 0 10249 0
mpi 1 150 1000 1 6 10007 0 9806 0
mpi 1 150 1000 1 7 10479 0 10606 0
mpi 1 150 1000 1 8 11238 0 11704 0
mpi 1 150 1000 1 9 10163 0 9863 0
mpi 1 150 150 1 1 6962 0 8508 0
mpi 1 150 150 1 10 7305 0 7433 0
mpi 1 150 150 1 2 7278 0 8018 0
mpi 1 150 150 1 3 7397 0 8947 0
mpi 1 150 150 1 4 8042 0 6590 0
mpi 1 150 150 1 5 7075 0 6723 0
mpi 1 150 150 1 6 6988 0 8165 0
mpi 1 150 150 1 7 7258 0 7170 0
mpi 1 150 150 1 8 7713 0 8006 0
mpi 1 150 150 1 9 6401 0 6279 0
mpi 1 150 2000 1 1 10012 0 10118 0
mpi 1 150 2000 1 10 10303 0 10341 0
mpi 1 150 2000 1 2 9989 0 9979 0
mpi 1 150 2000 1 3 9327 0 9470 0
mpi 1 150 2000 1 4 10707 0 10348 0
mpi 1 150 2000 1 5 10842 0 10386 0
mpi 1 150 2000 1 6 10419 0 10066 0
mpi 1 150 2000 1 7 10797 0 10849 0
mpi 1 150 2000 1 8 10376 0 10197 0
mpi 1 150 2000 1 9 9837 0 9554 0
mpi 1 150 250 1 1 8653 0 8875 0
mpi 1 150 250 1 10 8140 0 8536 0
mpi 1 150 250 1 2 8404 0 10100 0
mpi 1 150 250 1 3 7823 0 7792 0
mpi 1 150 250 1 4 8311 0 7520 0
mpi 1 150 250 1 5 8940 0 8978 0
mpi 1 150 250 1 6 8002 0 9454 0
mpi 1 150 250 1 7 7473 0 6431 0
mpi 1 150 250 1 8 8159 0 9085 0
mpi 1 150 250 1 9 7380 0 7934 0
mpi 1 150 3000 1 1 9867 0 9585 0
mpi 1 150 3000 1 10 10390 0 10271 0
mpi 1 150 3000 1 2 9909 0 10153 0
mpi 1 150 3000 1 3 9538 0 9740 0
mpi 1 150 3000 1 4 10157 0 10299 0
mpi 1 150 3000 1 5 10270 0 10115 0
mpi 1 150 3000 1 6 10591 0 10142 0
mpi 1 150 3000 1 7 9939 0 9582 0
mpi 1 150 3000 1 8 10209 0 9679 0
mpi 1 150 3000 1 9 10067 0 9906 0
mpi 1 150 500 1 1 9761 0 8838 0
mpi 1 150 500 1 10 9538 0 9416 0
mpi 1 150 500 1 2 8801 0 9092 0
mpi 1 150 500 1 3 9159 0 9270 0
mpi 1 150 500 1 4 9134 0 8209 0
mpi 1 150 500 1 5 9224 0 9198 0
mpi 1 150 500 1 6 9001 0 8937 0
mpi 1 150 500 1 7 9119 0 10237 0
mpi 1 150 500 1 8 8750 0 8062 0
mpi 1 150 500 1 9 10496 0 10437 0
mpi 1 150 750 1 1 9573 0 9113 0
mpi 1 150 750 1 10 9825 0 9991 0
mpi 1 150 750 1 2 10107 0 10058 0
mpi 1 150 750 1 3 9164 0 8521 0
mpi 1 150 750 1 4 10017 0 10388 0
mpi 1 150 750 1 5 9189 0 8890 0
mpi 1 150 750 1 6 9683 0 9313 0
mpi 1 150 750 1 7 9081 0 9764 0
mpi 1 150 750 1 8 9626 0 9842 0
mpi 1 150 750 1 9 10074 0 10159 0
mpi 1 200 1000 1 1 12848 0 11743 0
mpi 1 200 1000 1 10 12450 0 11013 0
mpi 1 200 1000 1 2 12868 0 13375 0
mpi 1 200 1000 1 3 12350 0 12228 0
mpi 1 200 1000 1 4 13425 0 13723 0
mpi 1 200 1000 1 5 13427 0 12353 0
mpi 1 200 1000 1 6 12865 0 12348 0
mpi 1 200 1000 1 7 12459 0 11959 0
mpi 1 200 1000 1 8 12876 0 14310 0
mpi 1 200 1000 1 9 13066 0 13136 0
mpi 1 200 2000 1 1 14034 0 13670 0
mpi 1 200 2000 1 10 13445 0 12697 0
mpi 1 200 2000 1 2 13753 0 13730 0
mpi 1 200 2000 1 3 13550 0 13261 0
mpi 1 200 2000 1 4 13738 0 14080 0
mpi 1 200 2000 1 5 14172 0 13422 0
mpi 1 200 2000 1 6 13025 0 13592 0
mpi 1 200 2000 1 7 13588 0 13355 0
mpi 1 200 2000 1 8 12643 0 12452 0
mpi 1 200 2000 1 9 13823 0 13503 0
mpi 1 200 250 1 1 10252 0 10797 0
mpi 1 200 250 1 10 10369 0 11570 0
mpi 1 200 250 1 2 9728 0 10936 0
mpi 1 200 250 1 3 10004 0 9211 0
mpi 1 200 250 1 4 10042 0 10828 0
mpi 1 200 250 1 5 9971 0 10447 0
mpi 1 200 250 1 6 10344 0 8913 0
mpi 1 200 250 1 7 10486 0 9649 0
mpi 1 200 250 1 8 10256 0 10918 0
mpi 1 200 250 1 9 10083 0 12354 0
mpi 1 200 3000 1 1 13505 0 13521 0
mpi 1 200 3000 1 10 13591 0 13270 0
mpi 1 200 3000 1 2 13817 0 13744 0
mpi 1 200 3000 1 3 13324 0 13272 0
mpi 1 200 3000 1 4 13835 0 13373 0
mpi 1 200 3000 1 5 14006 0 13616 0
mpi 1 200 3000 1 6 14027 0 13995 0
mpi 1 200 3000 1 7 13179 0 13075 0
mpi 1 200 3000 1 8 13473 0 13286 0
mpi 1 200 3000 1 9 13784 0 13606 0
mpi 1 200 500 1 1 11946 0 12235 0
mpi 1 200 500 1 10 11987 0 11625 0
mpi 1 200 500 1 2 11824 0 12007 0
mpi 1 200 500 1 3 11800 0 11547 0
mpi 1 200 500 1 4 12177 0 12959 0
mpi 1 200 500 1 5 11961 0 13209 0
mpi 1 200 500 1 6 11530 0 11627 0
mpi 1 200 500 1 7 12506 0 12942 0
mpi 1 200 500 1 8 13366 0 14110 0
mpi 1 200 500 1 9 12898 0 13521 0
mpi 1 200 750 1 1 12262 0 13180 0
mpi 1 200 750 1 10 12675 0 11851 0
mpi 1 200 750 1 2 11985 0 12743 0
mpi 1 200 750 1 3 12387 0 11948 0
mpi 1 200 750 1 4 12572 0 12977 0
mpi 1 200 750 1 5 11938 0 12369 0
mpi 1 200 750 1 6 12396 0 12358 0
mpi 1 200 750 1 7 12958 0 12935 0
mpi 1 200 750 1 8 12076 0 12639 0
mpi 1 200 750 1 9 13454 0 12939 0
mpi 1 250 1000 1 1 15482 0 15834 0
mpi 1 250 1000 1 10 17000 0 17669 0
mpi 1 250 1000 1 2 15835 0 16989 0
mpi 1 250 1000 1 3 15895 0 15382 0
mpi 1 250 1000 1 4 15976 0 16365 0
mpi 1 250 1000 1 5 15870 0 16337 0
mpi 1 250 1000 1 6 16132 0 16106 0
