set type n m type run opt optTime random randomTime ratio ratioTime
spi 2 10 10 2 1 16 0 30 0 24 0
spi 2 10 10 2 10 17 0 27 0 24 0
spi 2 10 10 2 2 12 0 15 0 15 0
spi 2 10 10 2 3 11 0 16 0 15 0
spi 2 10 10 2 4 13 0 27 0 17 0
spi 2 10 10 2 5 19 0 37 0 31 0
spi 2 10 10 2 6 19 0 35 0 20 0
spi 2 10 10 2 7 13 0 22 0 23 0
spi 2 10 10 2 8 16 0 30 0 18 0
spi 2 10 10 2 9 16 0 22 0 21 0
spi 2 10 20 2 1 39 0 67 0 58 0
spi 2 10 20 2 10 74 1 116 0 86 0
spi 2 10 20 2 2 68 0 93 0 71 0
spi 2 10 20 2 3 70 0 109 0 81 0
spi 2 10 20 2 4 61 0 92 0 72 0
spi 2 10 20 2 5 72 1 102 0 86 0
spi 2 10 20 2 6 40 0 67 0 46 0
spi 2 10 20 2 7 41 1 63 0 44 0
spi 2 10 20 2 8 53 0 70 0 82 0
spi 2 10 20 2 9 41 0 53 0 53 0
spi 2 10 30 2 1 153 1 213 0 175 0
spi 2 10 30 2 10 115 1 164 0 138 0
spi 2 10 30 2 2 77 1 111 0 105 0
spi 2 10 30 2 3 132 1 149 0 158 0
spi 2 10 30 2 4 120 1 156 0 120 0
spi 2 10 30 2 5 142 1 152 0 176 0
spi 2 10 30 2 6 124 1 165 0 159 0
spi 2 10 30 2 7 153 1 178 0 169 0
spi 2 10 30 2 8 129 2 178 0 149 0
spi 2 10 30 2 9 156 1 194 0 171 0
spi 2 10 40 2 1 278 1 310 0 287 0
spi 2 10 40 2 10 226 1 289 0 239 0
spi 2 10 40 2 2 281 2 349 0 281 0
spi 2 10 40 2 3 294 1 346 0 294 0
spi 2 10 40 2 4 261 2 323 0 290 0
spi 2 10 40 2 5 278 2 381 0 312 0
spi 2 10 40 2 6 280 1 315 0 280 0
spi 2 10 40 2 7 186 1 237 0 186 0
spi 2 10 40 2 8 290 1 334 0 307 0
spi 2 10 40 2 9 285 1 352 0 303 0
spi 2 15 100 2 1 1177 139 1345 0 1283 0
spi 2 15 100 2 10 1018 145 1182 0 1018 0
spi 2 15 100 2 2 970 140 1038 0 974 0
spi 2 15 100 2 3 901 142 1007 0 915 0
spi 2 15 100 2 4 1236 148 1314 0 1281 0
spi 2 15 100 2 5 758 143 921 0 772 0
spi 2 15 100 2 6 1230 158 1376 0 1349 0
spi 2 15 100 2 7 1011 142 1179 0 1067 0
spi 2 15 100 2 8 1297 145 1525 0 1389 0
spi 2 15 100 2 9 1314 156 1385 0 1368 0
spi 2 15 20 2 1 54 21 82 0 68 0
spi 2 15 20 2 10 27 14 49 0 51 0
spi 2 15 20 2 2 44 24 67 0 64 0
spi 2 15 20 2 3 25 20 63 0 49 0
spi 2 15 20 2 4 39 23 76 0 53 0
spi 2 15 20 2 5 28 21 55 0 32 0
spi 2 15 20 2 6 27 21 44 0 40 0
spi 2 15 20 2 7 30 22 52 0 38 0
spi 2 15 20 2 8 46 16 90 0 53 0
spi 2 15 20 2 9 25 18 37 0 29 0
spi 2 15 40 2 1 112 60 191 0 144 0
spi 2 15 40 2 10 159 57 273 0 178 0
spi 2 15 40 2 2 167 60 266 0 176 0
spi 2 15 40 2 3 134 54 218 0 166 0
spi 2 15 40 2 4 156 57 246 0 203 0
spi 2 15 40 2 5 147 52 212 0 184 0
spi 2 15 40 2 6 159 56 232 0 169 0
spi 2 15 40 2 7 156 59 242 0 200 0
spi 2 15 40 2 8 126 52 167 0 127 0
spi 2 15 40 2 9 124 56 201 0 166 0
spi 2 15 60 2 1 321 99 460 0 383 0
spi 2 15 60 2 10 232 87 408 0 385 0
spi 2 15 60 2 2 466 94 573 0 543 0
spi 2 15 60 2 3 386 89 570 0 449 0
spi 2 15 60 2 4 334 95 453 0 423 0
spi 2 15 60 2 5 415 85 487 0 487 0
spi 2 15 60 2 6 344 85 468 0 408 0
spi 2 15 60 2 7 452 92 591 0 514 0
spi 2 15 60 2 8 294 84 413 0 339 0
spi 2 15 60 2 9 337 90 416 0 395 0
spi 2 15 80 2 1 722 134 811 0 787 0
spi 2 15 80 2 10 579 144 695 0 625 0
spi 2 15 80 2 2 828 129 968 0 877 0
spi 2 15 80 2 3 788 117 912 0 788 0
spi 2 15 80 2 4 741 127 1007 0 898 0
spi 2 15 80 2 5 644 116 826 0 644 0
spi 2 15 80 2 6 720 123 843 0 843 0
spi 2 15 80 2 7 700 117 856 0 841 0
spi 2 15 80 2 8 770 124 893 0 790 0
spi 2 15 80 2 9 680 116 871 0 767 0
spi 2 20 100 2 1 819 4659 1056 0 1026 0
spi 2 20 100 2 10 671 4711 836 0 737 0
spi 2 20 100 2 2 721 4762 903 0 890 0
spi 2 20 100 2 3 643 4717 841 0 754 0
spi 2 20 100 2 4 625 4783 727 0 738 0
spi 2 20 100 2 5 935 4619 1161 0 1110 0
spi 2 20 100 2 6 725 4674 1011 0 798 0
spi 2 20 100 2 7 866 5210 1071 0 946 0
spi 2 20 100 2 8 929 4733 1150 0 1130 0
spi 2 20 100 2 9 701 4983 890 0 800 0
spi 2 20 120 2 1 1000 5816 1220 0 1172 0
spi 2 20 120 2 10 1344 5843 1683 0 1436 0
spi 2 20 120 2 2 1174 5760 1449 0 1174 0
spi 2 20 120 2 3 1366 5789 1691 0 1612 0
spi 2 20 120 2 4 1129 5855 1427 0 1351 0
spi 2 20 120 2 5 1000 5900 1247 0 1205 0
spi 2 20 120 2 6 1105 5758 1376 0 1125 0
spi 2 20 120 2 7 1344 5915 1509 0 1502 0
spi 2 20 120 2 8 1293 5901 1573 0 1431 0
spi 2 20 120 2 9 1543 5746 1911 0 1694 0
spi 2 20 20 2 1 23 663 62 0 28 0
