name obj time
C2000-5 136452 41.789000
C2000-9 139464 0.778000
MANN-a45 71923 0.023000
MANN-a81 234192 0.125000
bio-dmela 168704 38.031000
bio-yeast 29557 0.001000
ca-AstroPh 759298 19.852000
ca-CSphd 33272 0.001000
ca-CondMat 805053 75.398000
ca-Erdos992 32550 0.000000
ca-GrQc 139698 5.917000
ca-HepPh 431027 82.198000
ca-MathSciNet 8914795 195.165000
ca-citeseer 8192657 413.299000
ca-dblp-2010 7728114 327.534000
ca-dblp-2012 10454259 668.775000
frb56-25-1 96479 7.176000
frb56-25-2 97136 0.021000
frb56-25-3 94638 20.475000
frb56-25-4 95476 0.069000
frb56-25-5 97978 2.217000
frb59-26-1 107857 19.651000
frb59-26-2 106154 24.754000
frb59-26-3 102452 0.026000
frb59-26-4 104498 1.915000
frb59-26-5 105725 0.025000
ia-email-EU 57326 0.000000
ia-email-univ 38443 0.020000
ia-enron-large 810068 42.574000
ia-fb-messages 37016 0.019000
ia-reality 5880 0.000000
ia-wiki-Talk 1108809 0.885000
keller6 230608 0.110000
p-hat1500-1 96959 0.139000
p-hat1500-2 100664 0.028000
p-hat1500-3 103593 0.027000
rec-amazon 3033071 138.893000
sc-nasasrb 3504821 30.854000
sc-shipsec1 7879985 249.157000
soc-brightkite 1368666 10.306000
soc-delicious 5711927 20.222000
soc-douban 608796 0.000000
soc-epinions 626082 38.717000
soc-gowalla 5506387 43.478000
soc-slashdot 1433215 70.305000
soc-twitter-follows 161186 0.000000
socfb-Berkeley13 1173387 7.656000
socfb-CMU 340212 90.476000
socfb-Duke14 525162 13.761000
socfb-Indiana 1599355 119.652000
socfb-MIT 318399 32.877000
socfb-OR 2439380 27.944000
socfb-Penn94 2129870 92.442000
socfb-Stanford3 586806 101.504000
socfb-UCLA 1034938 59.215000
socfb-UCSB37 766458 96.357000
socfb-UConn 904116 19.685000
socfb-UIllinois 1640078 113.337000
socfb-Wisconsin87 1258166 107.351000
tech-RL-caida 4860951 95.681000
tech-WHOIS 147561 51.754000
tech-internet-as 360077 6.190000
tech-p2p-gnutella 1085103 14.868000
tech-routers-rf 52114 3.599000
web-BerkStan 332872 30.462000
web-arabic-2005 7680046 55.051000
web-edu 90119 46.234000
web-google 31942 0.009000
web-indochina-2004 469990 61.860000
web-sk-2005 3654966 81.965000
web-spam 150349 48.550000
web-webbase-2001 165712 44.250000
