name n m type run obj time
mpi 100 1000 1 1 5521 0.001000
mpi 100 1000 1 10 5389 0.001000
mpi 100 1000 1 2 4924 0.001000
mpi 100 1000 1 3 5489 0.001000
mpi 100 1000 1 4 5140 0.000000
mpi 100 1000 1 5 5649 0.002000
mpi 100 1000 1 6 5610 0.001000
mpi 100 1000 1 7 4867 0.003000
mpi 100 1000 1 8 5209 0.001000
mpi 100 1000 1 9 5475 0.001000
mpi 100 100 1 1 2501 0.001000
mpi 100 100 1 10 2521 0.000000
mpi 100 100 1 2 2503 0.001000
mpi 100 100 1 3 2634 0.000000
mpi 100 100 1 4 2132 0.000000
mpi 100 100 1 5 2380 0.000000
mpi 100 100 1 6 2700 0.005000
mpi 100 100 1 7 2514 0.000000
mpi 100 100 1 8 2463 0.000000
mpi 100 100 1 9 2450 0.001000
mpi 100 2000 1 1 6474 0.000000
mpi 100 2000 1 10 6614 0.000000
mpi 100 2000 1 2 5559 0.001000
mpi 100 2000 1 3 5764 0.000000
mpi 100 2000 1 4 5460 0.000000
mpi 100 2000 1 5 6162 0.000000
mpi 100 2000 1 6 6010 0.001000
mpi 100 2000 1 7 6218 0.000000
mpi 100 2000 1 8 6277 0.001000
mpi 100 2000 1 9 6609 0.001000
mpi 100 250 1 1 3860 0.010000
mpi 100 250 1 10 3819 0.000000
mpi 100 250 1 2 3540 0.000000
mpi 100 250 1 3 3479 0.000000
mpi 100 250 1 4 3471 0.000000
mpi 100 250 1 5 3517 0.004000
mpi 100 250 1 6 4059 0.000000
mpi 100 250 1 7 3587 0.004000
mpi 100 250 1 8 3543 0.000000
mpi 100 250 1 9 3889 0.000000
mpi 100 500 1 1 4470 0.001000
mpi 100 500 1 10 4383 0.000000
mpi 100 500 1 2 4948 0.001000
mpi 100 500 1 3 4349 0.001000
mpi 100 500 1 4 4699 0.001000
mpi 100 500 1 5 4447 0.001000
mpi 100 500 1 6 4673 0.001000
mpi 100 500 1 7 4540 0.000000
mpi 100 500 1 8 4399 0.000000
mpi 100 500 1 9 4327 0.000000
mpi 100 750 1 1 5137 0.000000
mpi 100 750 1 10 5216 0.000000
mpi 100 750 1 2 5040 0.000000
mpi 100 750 1 3 5104 0.000000
mpi 100 750 1 4 5263 0.000000
mpi 100 750 1 5 5283 0.000000
mpi 100 750 1 6 5598 0.002000
mpi 100 750 1 7 4761 0.000000
mpi 100 750 1 8 4823 0.000000
mpi 100 750 1 9 4971 0.002000
mpi 150 1000 1 1 7221 0.001000
mpi 150 1000 1 10 7564 0.002000
mpi 150 1000 1 2 6886 0.001000
mpi 150 1000 1 3 7080 0.000000
mpi 150 1000 1 4 7346 0.001000
