name n m type run obj time
spi 10 10 2 1 16 0.000000
spi 10 10 2 10 17 0.000000
spi 10 10 2 2 12 0.000000
spi 10 10 2 3 11 0.000000
spi 10 10 2 4 13 0.000000
spi 10 10 2 5 19 0.000000
spi 10 10 2 6 19 0.000000
spi 10 10 2 7 13 0.000000
spi 10 10 2 8 16 0.000000
spi 10 10 2 9 16 0.000000
spi 10 20 2 1 39 0.000000
spi 10 20 2 10 74 0.000000
spi 10 20 2 2 68 0.000000
spi 10 20 2 3 70 0.000000
spi 10 20 2 4 61 0.000000
spi 10 20 2 5 72 0.000000
spi 10 20 2 6 40 0.000000
spi 10 20 2 7 41 0.000000
spi 10 20 2 8 53 0.000000
spi 10 20 2 9 41 0.000000
spi 10 30 2 1 153 0.000000
spi 10 30 2 10 115 0.000000
spi 10 30 2 2 77 0.000000
spi 10 30 2 3 132 0.000000
spi 10 30 2 4 120 0.000000
spi 10 30 2 5 142 0.000000
spi 10 30 2 6 124 0.000000
spi 10 30 2 7 153 0.000000
spi 10 30 2 8 129 0.001000
spi 10 30 2 9 156 0.000000
spi 10 40 2 1 278 0.000000
spi 10 40 2 10 226 0.000000
spi 10 40 2 2 281 0.000000
spi 10 40 2 3 294 0.000000
spi 10 40 2 4 261 0.000000
spi 10 40 2 5 278 0.000000
spi 10 40 2 6 280 0.000000
spi 10 40 2 7 186 0.000000
spi 10 40 2 8 290 0.000000
spi 10 40 2 9 285 0.000000
spi 15 100 2 1 1177 0.000000
spi 15 100 2 10 1018 0.000000
spi 15 100 2 2 970 0.000000
spi 15 100 2 3 901 0.000000
spi 15 100 2 4 1236 0.000000
spi 15 100 2 5 758 0.000000
spi 15 100 2 6 1230 0.000000
spi 15 100 2 7 1011 0.000000
spi 15 100 2 8 1297 0.000000
spi 15 100 2 9 1314 0.000000
spi 15 20 2 1 54 0.001000
spi 15 20 2 10 27 0.000000
spi 15 20 2 2 44 0.000000
spi 15 20 2 3 25 0.000000
spi 15 20 2 4 39 0.000000
spi 15 20 2 5 28 0.000000
spi 15 20 2 6 27 0.000000
spi 15 20 2 7 30 0.000000
spi 15 20 2 8 46 0.000000
spi 15 20 2 9 25 0.000000
spi 15 40 2 1 112 0.000000
spi 15 40 2 10 159 0.000000
spi 15 40 2 2 167 0.000000
spi 15 40 2 3 134 0.000000
spi 15 40 2 4 156 0.000000
spi 15 40 2 5 147 0.000000
spi 15 40 2 6 159 0.000000
spi 15 40 2 7 156 0.000000
spi 15 40 2 8 126 0.000000
spi 15 40 2 9 124 0.000000
spi 15 60 2 1 321 0.000000
spi 15 60 2 10 232 0.000000
spi 15 60 2 2 466 0.000000
spi 15 60 2 3 386 0.000000
spi 15 60 2 4 334 0.000000
spi 15 60 2 5 415 0.000000
spi 15 60 2 6 344 0.000000
spi 15 60 2 7 452 0.000000
spi 15 60 2 8 294 0.000000
spi 15 60 2 9 337 0.000000
spi 15 80 2 1 722 0.000000
spi 15 80 2 10 579 0.000000
spi 15 80 2 2 828 0.000000
spi 15 80 2 3 788 0.000000
spi 15 80 2 4 741 0.000000
spi 15 80 2 5 644 0.000000
spi 15 80 2 6 720 0.000000
spi 15 80 2 7 700 0.000000
spi 15 80 2 8 770 0.000000
